"","OBJECTID","HUC12","HUC_STATE_NAME","HUC_STATE_ABBR","HUC_Region","HUC_RESERVE","Core_Edge_ratio","Perc_IC","Perc_Natural","Perc_Ag","Erodibility_Factor","MEAN_Marsh_Tidal_Range","Perc_Hardened_Shoreline","Shoreline_Sinuosity","Wetland_Connectedness","Pct_MUC_below_MHHW","Pct_MUC_below_MTL","UnvegVegEdge_ratio","AVG_migration_ratio","Acres","Shape_Length","Shape_Area","Core_Edge_ratio_Quantile","Perc_IC_Quantile","Perc_Natural_Quantile","Perc_Ag_Quantile","Erodibility_Factor_Quantile","MEAN_Marsh_Tidal_Range_Quantile","Perc_Hardened_Shoreline_Quantile","Shoreline_Sinuosity_Quantile","Wetland_Connectedness_Quantile","Pct_MUC_below_MHHW_Quantile","Pct_MUC_below_MTL_Quantile","UnvegVegEdge_ratio_Quantile","AVG_migration_ratio_Quantile","QuantileScoreSum","CurrentConditionSum","VulnerabilitySum","AdaptiveCapacitySum","CurrentConditionSum_Quantile","VulnerabilitySum_Quantile","AdaptiveCapacitySum_Quantile","QuantileScoreSum_Quantile","ConditionCategory","VulnerabilityCategory","AdaptiveCapacityCategory","ManagementCategory"
"253",253,20301040201,"New York","NY","Mid-Atlantic","",0.3688729,30.7906151,39.2594833,0.7010683,0.283832168,1.778553469,23.73127882,-0.736689772,41.4507772,0.386915078,0.137348354,2.091141132,0.092319982,25010.99617,55513.25724,101215910.5,5,-10,2,-5,-9,8,-8,3,6,-5,-5,-6,3,-22,-14,-11,3,2,-5,2,2,"Low","Low","Low","Low-Low-Low"
"254",254,20301040203,"New Jersey","NJ","Mid-Atlantic","",0.0588235,45.9106178,10.5022831,0,0.273356643,1.711957212,79.84299713,-0.920743431,50,0.277777778,0.092592593,5.375000336,1.150338212,17761.81089,36644.57507,71879498.48,3,-10,1,-1,-8,8,-10,1,7,-4,-4,-9,9,-13,-16,-8,11,1,-3,5,3,"Low","Low","Low","Low-Low-Low"
"255",255,20301040204,"New York","NY","Mid-Atlantic","",0.5822983,32.4211884,35.7199745,0.8550684,0.213013699,1.745656943,27.8748217,-0.664008148,44.73684211,0.311850997,0.101368057,1.308731964,0.091373559,18931.55067,54679.01255,76613267.4,6,-10,2,-5,-5,8,-9,4,6,-4,-4,-4,3,-14,-11,-5,2,3,-2,1,3,"Low","Low","Low","Low-Low-Low"
"256",256,20301040205,"New York","NY","Mid-Atlantic","",0.1045531,50.4956131,10.1352272,0,0.262227074,1.56080967,87.88650143,-0.61086374,-6.578947368,0.758186398,0.647355164,10.03597898,0.166155771,25790.65278,45524.9029,104371068.9,3,-10,1,-1,-8,7,-10,5,1,-9,-10,-9,4,-37,-16,-20,-1,1,-10,1,1,"Low","High","Low","Low-High-Low"
"257",257,20301040302,"New Jersey","NJ","Mid-Atlantic","",0.3118644,13.2932634,59.3908958,0.1809319,0.137476303,1.58100009,3.50502567,-0.545073756,57.14285714,0.587855297,0.11369509,1.260536351,0.217697321,17296.7952,50776.89974,69997646.73,5,-8,4,-4,-3,7,-5,6,8,-7,-4,-4,5,2,-7,-7,16,5,-3,7,7,"Low","Low","High","Low-Low-High"
"258",258,20301040303,"New Jersey","NJ","Mid-Atlantic","",0.4231213,8.7665968,57.7071533,7.3568325,0.159569892,1.58100009,33.2629579,-0.708031624,29.41176471,0.807471264,0.225574713,3.54650802,0.119366297,11250.95546,34918.20535,45531001.35,5,-8,3,-8,-3,7,-9,3,4,-9,-7,-8,3,-28,-16,-12,0,1,-6,1,1,"Low","High","Low","Low-High-Low"
"259",259,20301040304,"New Jersey","NJ","Mid-Atlantic","",0.1496612,21.4318047,34.0819664,1.2050807,0.155701754,1.580538612,43.65291534,-0.758698465,30.87248322,0.70274771,0.334721066,5.672941318,0.269287941,20288.24665,50519.90721,82103621.27,4,-9,2,-5,-3,7,-10,3,5,-8,-8,-9,6,-24,-17,-12,5,1,-6,2,1,"Low","High","Low","Low-High-Low"
"260",260,20301040401,"New Jersey","NJ","Mid-Atlantic","",1.0109409,30.5606976,23.5961113,0.4323287,0.198720749,1.694723232,17.28439014,-0.553759648,28.57142857,0.640888208,0.137825421,1.84571996,0.032165728,10094.59837,29050.97287,40851390.23,8,-10,1,-4,-5,8,-8,6,4,-8,-5,-5,1,-20,-10,-10,0,4,-5,1,2,"Low","Low","Low","Low-Low-Low"
"261",261,20301040402,"New Jersey","NJ","Mid-Atlantic","",0.7793168,20.2981033,40.3001518,1.0526668,0.151263001,1.584287089,42.88745749,-0.732928195,54.08163265,0.266155208,0.059309531,1.598942907,0.194046277,39453.46248,62738.07276,159662498,7,-9,2,-5,-3,7,-10,3,7,-4,-3,-5,5,-8,-10,-3,5,4,-1,2,4,"Low","Low","Low","Low-Low-Low"
"262",262,20301040403,"New Jersey","NJ","Mid-Atlantic","",1.1388773,20.6947117,42.3230896,1.8552529,0.17741784,1.687171058,20.17728993,-0.710312411,38.80597015,0.351962823,0.098569157,1.169892079,0.050105627,21515.3561,50522.71528,87069557.03,8,-9,2,-6,-4,8,-8,3,5,-5,-4,-3,2,-13,-8,-5,0,5,-2,1,3,"Low","Low","Low","Low-Low-Low"
"263",263,20301040404,"New York","NY","Mid-Atlantic","",0.3046325,21.2146587,43.3522568,1.0590568,0.225541891,1.599021497,45.27851265,-0.792703295,29.59183673,0.302488832,0.116783663,1.461982319,0.271810283,36913.84872,66944.50178,149385045.8,5,-9,2,-5,-6,7,-10,2,5,-4,-5,-4,6,-15,-11,-8,4,3,-3,2,3,"Low","Low","Low","Low-Low-Low"
"264",264,20301040501,"New York","NY","Mid-Atlantic","",0.7113728,39.0097122,19.6680527,0.0567568,0.143572711,1.796981303,24.30109685,-0.624866839,16.66666667,0.610726644,0.275519031,4.899165378,0.071480225,25831.40441,51570.20237,104535984.8,7,-10,1,-3,-3,8,-8,5,3,-8,-8,-8,2,-24,-13,-11,0,3,-5,1,1,"Low","Low","Low","Low-Low-Low"
"265",265,20301040502,"New York","NY","Mid-Atlantic","",1.1274126,36.1393852,28.0836601,3.972858,0.162321168,1.793901126,23.50585102,-0.592961372,12.62135922,0.693869946,0.403763741,5.744894512,0.047393401,26287.7146,61983.00599,106382606.7,8,-10,1,-7,-4,8,-8,5,3,-8,-9,-9,2,-30,-17,-13,0,1,-7,1,1,"Low","High","Low","Low-High-Low"
"266",266,20301040503,"New York","NY","Mid-Atlantic","",0.6809679,25.1349792,52.2130165,1.0022994,0.129695613,1.765935096,26.82509651,-0.412267364,11.11111111,0.823126338,0.475231977,3.295152402,0.10700991,39855.80969,66691.92541,161290739.4,7,-10,3,-5,-3,8,-9,7,3,-9,-9,-8,3,-24,-13,-13,2,3,-7,1,1,"Low","High","Low","Low-High-Low"
"267",267,20301040504,"New York","NY","Mid-Atlantic","",0.121762,26.2552166,45.0293617,0.5221282,0.10262987,1.668686086,40.93021785,-0.827315328,15.38461538,0.655469423,0.519379845,4.315417303,0.418598825,23510.70905,45425.29659,95144463.9,3,-10,2,-4,-2,7,-9,2,3,-8,-10,-8,7,-24,-17,-13,6,1,-7,3,1,"Low","High","Low","Low-High-Low"
"268",268,20301040505,"New York","NY","Mid-Atlantic","",0.0566038,26.2485352,17.1303082,0,0.169858491,1.611568694,64.44098981,-0.886133079,11.11111111,0.607142857,0.56547619,18.87501156,0.21759273,18246.25139,36735.69246,73839959.61,3,-10,1,-1,-4,7,-10,1,3,-7,-10,-10,5,-32,-17,-14,-1,1,-7,1,1,"Low","High","Low","Low-High-Low"
"269",269,20301050401,"New Jersey","NJ","Mid-Atlantic","",0,7.1629782,81.3041611,0,0.16852768,1.825999975,0,0,0,0,0,1.571428661,0.060729336,28106.17383,77447.72458,113741650.1,1,-7,6,-1,-4,8,-1,10,1,-1,-1,-5,2,10,-6,2,14,6,-1,6,8,"High","Low","High","High-Low-High"
"270",270,20301050403,"New Jersey","NJ","Mid-Atlantic","",0,12.3180065,60.5733185,0,0.185538244,1.825999975,0,0,0,0,0,1000,0.835704018,13939.91156,36370.89455,56412820.62,1,-8,4,-1,-4,8,-1,10,1,-1,-1,-10,8,14,-14,2,26,2,-1,10,9,"Low","Low","High","Low-Low-High"
"271",271,20301050404,"New Jersey","NJ","Mid-Atlantic","",0,7.9227428,81.8963547,0,0.169403748,1.825999975,0,-0.457255622,0,0.769230769,0.538461538,1.6,2.058050837,10338.40631,39849.82507,41838045.99,1,-7,6,-1,-4,8,-1,7,1,-9,-10,-5,9,4,-6,-15,24,6,-8,9,7,"High","High","High","High-High-High"
"272",272,20301050405,"New Jersey","NJ","Mid-Atlantic","",1.0741086,15.9202805,57.1924324,3.9247282,0.133200663,1.82544521,3.835695851,-0.688745803,54.87804878,0.213337547,0.107458913,1.770915755,0.136599286,19114.53518,60368.00538,77353779.43,8,-9,3,-7,-3,8,-5,4,8,-3,-4,-5,4,0,-10,-2,12,4,-1,5,6,"Low","Low","Low","Low-Low-Low"
"273",273,20301050505,"New Jersey","NJ","Mid-Atlantic","",0.266918,16.8150845,56.288063,0,0.206176471,1.825786589,1.194108875,-0.842083894,25,0.620967742,0.225806452,1.86608803,0.040135726,29837.92831,56359.52583,120749811.8,5,-9,3,-1,-5,8,-4,1,4,-8,-7,-5,2,-16,-7,-12,3,5,-6,2,3,"Low","High","Low","Low-High-Low"
"274",274,20301050506,"New Jersey","NJ","Mid-Atlantic","",0.4494569,22.957716,36.7430954,0.1275341,0.338754491,1.824660275,4.320158345,-0.932490396,23.07692308,0.195467422,0.107648725,1.523464785,0.295635918,23547.8076,57688.03997,95294596.41,6,-10,2,-4,-10,8,-5,1,4,-3,-4,-4,6,-10,-10,-9,10,4,-4,4,4,"Low","Low","Low","Low-Low-Low"
"275",275,20301050507,"New Jersey","NJ","Mid-Atlantic","",1.4969442,21.2833138,49.4343147,0.212431,0.165014837,1.798360942,18.41553007,-0.606637003,39.09090909,0.355704698,0.071552284,1.679293837,0.034077436,17892.17816,40855.58491,72407076.08,8,-9,3,-4,-4,8,-8,5,6,-5,-3,-5,2,-8,-7,-4,3,5,-2,2,4,"Low","Low","Low","Low-Low-Low"
"276",276,20302010101,"New York","NY","Mid-Atlantic","",0.4923858,32.5603065,16.3975773,0.0504541,0.231186869,2.375322161,44.7764389,-0.44689462,11.11111111,0.332199546,0.142857143,3.251798814,0.038747799,8660.417441,28034.78038,35047465.94,6,-10,1,-3,-6,9,-10,7,3,-5,-5,-8,2,-22,-14,-7,-1,2,-3,1,2,"Low","Low","Low","Low-Low-Low"
"277",277,20302010102,"New York","NY","Mid-Atlantic","",0.0313253,30.5461845,19.413641,0.1879411,0.16088,2.418213528,58.94526623,-0.829695828,3.636363636,0.817757009,0.628504673,82.0001476,0.068681319,11959.17755,37007.89879,48397074.48,2,-10,1,-4,-3,9,-10,2,2,-9,-10,-10,2,-41,-21,-13,-7,1,-7,1,1,"Low","High","Low","Low-High-Low"
"278",278,20302010103,"New York","NY","Mid-Atlantic","",0.0681818,36.0960922,24.7204971,0,0.181141141,2.416448647,55.50081491,-0.801279267,6.666666667,0.713947991,0.399527187,10.31428663,0.058071633,16090.95626,42115.17266,65117789.69,3,-10,1,-1,-4,9,-10,2,2,-8,-9,-9,2,-35,-16,-12,-7,1,-6,1,1,"Low","High","Low","Low-High-Low"
"279",279,20302010104,"New York","NY","Mid-Atlantic","",0.1727882,13.9936457,50.7237167,0.1133645,0.14,2.408630884,48.40273937,-0.796039728,13.33333333,0.429460581,0.151452282,3.723077496,0.158267472,16804.74741,52863.93498,68006399.97,4,-9,3,-3,-3,9,-10,2,3,-6,-6,-8,4,-21,-13,-6,-2,3,-2,1,2,"Low","Low","Low","Low-Low-Low"
"280",280,20302010201,"New York","NY","Mid-Atlantic","",0.056256,13.267148,60.2551613,0.9275643,0.198077922,2.428190534,17.59519042,-0.749135209,20.52980132,0.576103501,0.372907154,5.099571687,0.101923356,17400.27727,46882.1778,70416423.8,3,-8,4,-5,-5,9,-8,3,4,-7,-9,-8,3,-25,-14,-12,1,2,-6,1,1,"Low","High","Low","Low-High-Low"
"281",281,20302010202,"New York","NY","Mid-Atlantic","",0.4034195,7.665164,75.7042084,0.8412242,0.153946731,2.387312067,27.98846933,-0.645902959,39.53488372,0.660289855,0.171594203,2.619500294,0.122429692,35895.16971,85353.07359,145262598.1,5,-7,5,-5,-3,9,-9,4,6,-8,-6,-7,3,-14,-9,-8,2,4,-3,1,3,"Low","Low","Low","Low-Low-Low"
"282",282,20302010203,"New York","NY","Mid-Atlantic","",0.0578853,10.1213856,64.4870911,2.3070996,0.142806236,2.332328357,30.89489995,-0.815371335,33.33333333,0.57412168,0.30848329,4.500668799,0.106884679,15669.55489,43755.545,63412438.84,3,-8,4,-6,-3,9,-9,2,5,-7,-8,-8,3,-24,-15,-9,0,2,-4,1,1,"Low","Low","Low","Low-Low-Low"
"283",283,20302010204,"New York","NY","Mid-Atlantic","",0.0707483,15.3504734,46.1071091,0.4532071,0.14021164,2.366956173,28.6618419,-0.765899228,9.782608696,0.624688279,0.381546135,8.364183229,0.097409095,17913.67135,50865.69533,72494055.94,3,-9,2,-4,-3,9,-9,2,3,-8,-9,-9,3,-30,-17,-11,-2,1,-5,1,1,"Low","Low","Low","Low-Low-Low"
"284",284,20302010301,"New York","NY","Mid-Atlantic","",1.943038,16.288187,44.6005821,1.3535836,0.132084507,2.281304482,29.86741923,-0.927757631,42.85714286,0.52688172,0.076344086,0.987421436,0.164844241,35694.04737,57064.88746,144448684.9,9,-9,2,-5,-3,9,-9,1,6,-7,-3,-3,4,-8,-6,-4,2,6,-2,1,4,"High","Low","Low","High-Low-Low"
"285",285,20302010302,"New York","NY","Mid-Atlantic","",0.9459112,8.0692272,63.4852371,2.2360878,0.117179254,2.242000636,2.240665465,-0.242345529,35.0877193,0.762409001,0.451687624,1.813405966,0.072297023,31885.15616,62346.9772,129034649,7,-7,4,-6,-2,9,-5,8,5,-9,-9,-5,2,-8,-7,-11,10,5,-5,4,4,"Low","Low","Low","Low-Low-Low"
"286",286,20302010303,"New York","NY","Mid-Atlantic","",0.390471,9.1001415,60.9925079,3.087889,0.15012766,2.235740366,8.340739294,-0.630185224,40.51724138,0.781016148,0.432847578,5.664233312,0.098174768,45217.40056,67275.07542,182988327.9,5,-8,4,-6,-3,9,-6,5,6,-9,-9,-9,3,-18,-14,-12,8,2,-6,3,2,"Low","High","Low","Low-High-Low"
"287",287,20302010304,"New York","NY","Mid-Atlantic","",0.3887487,12.656497,53.3866539,1.3584919,0.127106227,2.157438093,19.90810742,-0.794258752,23.58490566,0.797796143,0.582369146,7.540892374,0.118087799,46262.00084,67817.72917,187215675.2,5,-8,3,-5,-3,9,-8,2,4,-9,-10,-9,3,-27,-14,-13,0,2,-7,1,1,"Low","High","Low","Low-High-Low"
"288",288,20302010401,"New York","NY","Mid-Atlantic","",1.3261883,13.6055021,64.8385239,0.1902375,0.12171521,1.967245161,24.58856686,-0.904072629,16.66666667,0.48336414,0.112754159,1.689266519,0.070793948,103495.9616,92175.66785,418833296.9,8,-8,4,-4,-2,8,-8,1,3,-6,-4,-5,2,-13,-5,-4,-4,6,-2,1,3,"High","Low","Low","High-Low-Low"
"289",289,20302010402,"New York","NY","Mid-Atlantic","",0.1085851,12.4745216,55.628849,3.7348402,0.159064449,1.654326078,21.90157433,-0.836669868,34.42622951,0.549591599,0.437572929,4.504853529,0.248189762,104779.1895,114707.5836,424026335.8,3,-8,3,-6,-3,7,-8,2,5,-7,-9,-8,5,-23,-16,-12,5,1,-6,2,2,"Low","High","Low","Low-High-Low"
"290",290,20302010403,"New York","NY","Mid-Atlantic","",0.0478789,2.7012496,91.103157,0.7084979,0.142261905,0.89743267,24.2708161,-0.680003652,12.96296296,0.530938124,0.488023952,2.967964092,0.186263421,49453.40725,99034.99066,200130838.7,3,-5,8,-5,-3,6,-8,4,3,-7,-9,-7,4,-16,-6,-13,3,6,-7,2,3,"High","High","Low","High-High-Low"
"291",291,20302020201,"New York","NY","Mid-Atlantic","",0,59.3584213,2.7553062,0,0.152154066,0.839044866,71.06232702,-0.946150298,0,0.958333333,0.958333333,1000,1.377308773,26862.07472,64874.76727,108706959.6,1,-10,1,-1,-3,5,-10,1,1,-10,-10,-10,9,-32,-19,-18,5,1,-9,2,1,"Low","High","Low","Low-High-Low"
"292",292,20302020202,"New York","NY","Mid-Atlantic","",1.9695426,24.0457134,52.4381676,1.4302349,0.069307958,0.882974197,29.70180455,-0.189990291,26.59574468,0.688779062,0.287066685,7.399744561,0.045800153,35730.19805,83614.28337,144594981.5,9,-10,3,-5,-1,6,-9,9,4,-8,-8,-9,2,-20,-12,-11,4,3,-5,2,2,"Low","Low","Low","Low-Low-Low"
"293",293,20302020203,"New York","NY","Mid-Atlantic","",0.3600743,41.1227303,21.9043598,1.5723698,0.157943548,1.354910986,50.58441477,-0.72750566,5.555555556,0.498910675,0.322440087,3.763806111,0.073127153,20960.08543,67484.59847,84822456.32,5,-10,1,-5,-3,7,-10,3,2,-6,-8,-8,2,-33,-17,-10,-6,1,-5,1,1,"Low","Low","Low","Low-Low-Low"
"294",294,20302020204,"New York","NY","Mid-Atlantic","",0,39.6451416,9.5129137,0,0.148916667,1.54402689,61.26690106,-0.772260866,7.142857143,0.771084337,0.759036145,1000,0.164724288,22210.67749,57021.58195,89883422.85,1,-10,1,-1,-3,7,-10,2,2,-9,-10,-10,4,-37,-19,-15,-3,1,-8,1,1,"Low","High","Low","Low-High-Low"
"295",295,20302020205,"New York","NY","Mid-Atlantic","",2.056217,40.1130676,16.1117039,8.6030035,0.059371728,1.426364804,36.31336651,-0.293758363,5.882352941,0.741545064,0.2727897,8.057361971,0.02060463,23997.21129,56381.35115,97113268.62,9,-10,1,-8,-1,7,-9,8,2,-9,-8,-9,1,-30,-17,-11,-2,1,-5,1,1,"Low","Low","Low","Low-Low-Low"
"296",296,20302020206,"New York","NY","Mid-Atlantic","",2.0955775,32.871666,24.3409481,0.5072594,0.059945946,1.53766025,25.22414594,-0.343917215,5.660377358,0.725310308,0.277657852,3.397903697,0.035898048,25182.55345,45866.56818,101910178.2,9,-10,1,-4,-1,7,-9,8,2,-9,-8,-8,2,-22,-12,-11,0,3,-5,1,2,"Low","Low","Low","Low-Low-Low"
"297",297,20302020207,"New York","NY","Mid-Atlantic","",2.480056,35.8675079,28.9056072,5.5883722,0.079303797,1.26381212,23.32268844,-0.280428073,16.66666667,0.873278689,0.294754098,8.097480712,0.064988767,38101.19755,80845.51091,154190076,10,-10,1,-7,-2,7,-8,8,3,-10,-8,-9,2,-25,-15,-13,3,2,-7,2,1,"Low","High","Low","Low-High-Low"
"298",298,20302020302,"New York","NY","Mid-Atlantic","",1.6290773,2.8685977,86.1336823,0.6907276,0.123233879,0.454788407,1.145259197,-0.582125431,42.55319149,0.143653516,0.106132075,0.742060674,0.049405746,29070.71273,77205.02012,117645000.5,9,-5,7,-5,-2,3,-4,5,6,-2,-4,-2,2,8,4,-5,9,9,-2,4,8,"High","Low","Low","High-Low-Low"
"299",299,20302020303,"New York","NY","Mid-Atlantic","",0.221097,35.6201973,6.5567026,0,0.1055,0.422018591,70.07880582,-0.84141053,-11.53846154,0.234432234,0.183150183,14.83015029,0.041710418,11665.7476,36755.79687,47209605.6,4,-10,1,-1,-2,3,-10,1,1,-3,-6,-10,2,-33,-16,-8,-9,1,-3,1,1,"Low","Low","Low","Low-Low-Low"
"300",300,20302020304,"New York","NY","Mid-Atlantic","",1.1622747,17.7556648,32.5906219,1.5818567,0.112177778,0.462308316,17.90167156,-0.677943424,19.09090909,0.258942872,0.194073679,3.350829129,0.066968421,51623.67569,71332.71769,208913603.5,8,-9,1,-5,-2,3,-8,4,3,-4,-7,-8,2,-24,-13,-10,-1,3,-5,1,1,"Low","Low","Low","Low-Low-Low"
"301",301,20302020305,"New York","NY","Mid-Atlantic","",0.5270624,21.8262329,28.1287956,0.2608544,0.109904762,0.507518654,52.44734701,-0.826127761,8.108108108,0.219981668,0.185151237,3.662666912,0.103525831,32385.12268,63389.05409,131057941.7,6,-9,1,-4,-2,4,-10,2,3,-3,-6,-8,3,-25,-14,-7,-4,2,-3,1,1,"Low","Low","Low","Low-Low-Low"
"302",302,20302020401,"New York","NY","Mid-Atlantic","",0.4276402,13.4889908,54.0796356,1.7502744,0.126641679,0.406546418,53.43402237,-0.769141076,8.333333333,0.272254335,0.207514451,1.715752928,0.084624965,22342.35905,57892.22642,90416319.19,6,-8,3,-6,-3,3,-10,2,3,-4,-7,-5,3,-25,-10,-11,-4,4,-5,1,1,"Low","Low","Low","Low-Low-Low"
"303",303,20600030105,"Maryland","MD","Mid-Atlantic","CBM, MD",0.5167286,4.0749078,83.5473328,3.6070311,0.285774248,0.547099128,20.05869989,-0.780965676,12.16216216,0.50982846,0.437077657,1.129599517,0.176449011,21206.39107,52850.00414,85819219.89,6,-6,7,-6,-9,4,-8,2,3,-7,-9,-3,4,-22,-2,-21,1,7,-10,1,2,"High","High","Low","High-High-Low"
"304",304,20600030201,"Maryland","MD","Mid-Atlantic","",0.2974963,3.4022393,68.6999435,18.7216415,0.351609017,0.749065166,19.22867351,-0.479758538,20.75471698,0.447038178,0.372826306,1.439715858,0.142983106,23802.66824,50568.41352,96325980.84,5,-6,5,-9,-10,5,-8,7,4,-6,-9,-4,4,-22,-9,-20,7,4,-10,3,2,"Low","High","Low","Low-High-Low"
"305",305,20600030202,"Maryland","MD","Mid-Atlantic","",0.7582358,4.5444808,76.4308929,6.3914099,0.272867965,0.641659033,1.992297989,-0.786415608,0,1,1,1.564789238,0,26277.61789,45653.23451,106341746.7,7,-6,5,-7,-8,5,-4,2,1,-10,-10,-4,1,-29,-5,-23,-1,6,-10,1,1,"High","High","Low","High-High-Low"
"306",306,20600030204,"Maryland","MD","Mid-Atlantic","",1.0004283,0.3374059,94.9327316,3.2733967,0.262896486,0.542874405,0.127352893,-0.631119339,0,1,1,0.877470386,0.005422668,20820.46775,49166.23848,84257443.64,8,-2,9,-6,-8,4,-3,5,1,-10,-10,-2,1,-14,7,-24,4,10,-10,2,3,"High","High","Low","High-High-Low"
"307",307,20600030602,"Maryland","MD","Mid-Atlantic","",0.4887438,3.8491831,79.5578079,5.7019706,0.229981413,0.521781956,35.48233814,-0.676077143,34.375,0.320641687,0.237652074,1.257723681,0.173866657,39035.07366,73515.80067,157969338.5,6,-6,6,-7,-6,4,-9,4,5,-4,-7,-4,4,-14,-5,-13,4,6,-7,2,3,"High","High","Low","High-High-Low"
"308",308,20700110701,"Maryland","MD","Mid-Atlantic","",0.484115,1.4719042,52.9760933,40.2150612,0.210861176,0.581072063,24.05924077,-0.676918621,24.67532468,0.378388759,0.210215977,1.475655375,0.401211037,39956.07732,77580.72769,161696508.1,6,-4,3,-10,-5,4,-8,4,4,-5,-7,-4,7,-12,-9,-13,10,4,-7,4,4,"Low","High","Low","Low-High-Low"
"309",309,20302020402,"New York","NY","Mid-Atlantic","",0,40.4528122,3.1533718,1.1931677,0.127340067,0.375,88.51089666,-0.93889305,0,0.774834437,0.768211921,149.99925,0.035903153,13537.98208,32825.15811,54786269.72,1,-10,1,-5,-3,2,-10,1,1,-9,-10,-10,2,-52,-23,-20,-9,1,-10,1,1,"Low","High","Low","Low-High-Low"
"310",310,20302020404,"New York","NY","Mid-Atlantic","",0.0625,16.9187336,43.7426796,0,0.147014742,0.421000004,90.19867707,-0.955232789,0,0,0,0.230769222,0.220176761,24786.73406,61717.7699,100308353.9,3,-9,2,-1,-3,3,-10,1,1,-1,-1,-1,5,-11,-6,-2,-3,6,-1,1,4,"High","Low","Low","High-Low-Low"
"311",311,20302020405,"New York","NY","Mid-Atlantic","",1.0093857,19.8042488,37.5791206,1.4545872,0.132241379,0.392301381,32.68524017,-0.811189051,23.42342342,0.30748965,0.176891231,2.267412252,0.159494236,46305.8797,83760.83327,187393246.7,8,-9,2,-5,-3,2,-9,2,4,-4,-6,-6,4,-20,-10,-11,0,4,-5,1,2,"Low","Low","Low","Low-Low-Low"
"312",312,20302020406,"New York","NY","Mid-Atlantic","",2.2907679,31.6318359,32.3462791,3.7724793,0.1292,0.568049748,36.54732319,-0.405059516,23.72881356,0.395109645,0.214147099,8.329557267,0.034553511,28338.18171,55038.82144,114680552.7,10,-10,1,-7,-3,4,-9,7,4,-5,-7,-9,2,-24,-15,-11,2,2,-5,1,1,"Low","Low","Low","Low-Low-Low"
"313",313,20302020407,"New York","NY","Mid-Atlantic","",1.5505824,26.6352215,31.9469547,1.4805022,0.126956522,0.426423234,37.23653004,-0.592160832,21.27659574,0.369766916,0.258655804,3.051869575,0.077244861,45367.31427,67344.95901,183595007.1,9,-10,1,-5,-3,3,-9,5,4,-5,-8,-7,2,-26,-12,-13,0,3,-7,1,1,"Low","High","Low","Low-High-Low"
"314",314,20302020503,"New York","NY","Mid-Atlantic","",0.1936947,13.0249176,52.4790611,2.5562098,0.114829822,1.013041969,16.22877584,-0.535163595,29.09090909,0.341386555,0.276260504,2.19945348,0.220828054,16837.8204,48500.65806,68140241.61,4,-8,3,-6,-2,6,-8,6,4,-5,-8,-6,5,-14,-13,-9,8,3,-4,3,3,"Low","Low","Low","Low-Low-Low"
"315",315,20302020504,"New York","NY","Mid-Atlantic","",0.4814063,8.3009005,54.776844,16.3158798,0.128189448,1.002951359,13.06983624,-0.494822492,21.42857143,0.312557287,0.195462878,1.013389408,0.096208678,20802.70525,50852.14185,84185561.35,6,-8,3,-9,-3,6,-7,6,4,-4,-7,-3,3,-14,-11,-8,6,3,-3,3,3,"Low","Low","Low","Low-Low-Low"
"316",316,20302020505,"New York","NY","Mid-Atlantic","",0.5231875,10.9867477,45.1408195,13.7434263,0.134764012,0.979126955,21.77620584,-0.59544595,21.73913043,0.540075535,0.332773815,1.90200418,0.128598992,34722.46252,65255.40704,140516820.4,6,-8,2,-8,-3,6,-8,5,4,-7,-8,-5,4,-20,-13,-12,5,3,-6,2,2,"Low","High","Low","Low-High-Low"
"317",317,20302020506,"New York","NY","Mid-Atlantic","",0.4188445,15.2659044,34.7515221,15.1302805,0.138165375,0.938880761,21.70996993,-0.634306275,11.20689655,0.791951132,0.629536471,3.889205859,0.160998623,26652.45479,57635.85699,107858657.8,5,-9,2,-9,-3,6,-8,5,3,-9,-10,-8,4,-31,-19,-16,4,1,-8,2,1,"Low","High","Low","Low-High-Low"
"318",318,20302020601,"New York","NY","Mid-Atlantic","",0.8586164,19.0631905,32.3261032,2.9141674,0.116541096,0.696444159,22.30576346,-0.791536008,15.46961326,0.410592255,0.249003417,3.758115651,0.066412124,36701.19495,58641.69422,148524466.5,7,-9,1,-6,-2,5,-8,2,3,-6,-7,-8,2,-28,-15,-10,-3,2,-5,1,1,"Low","Low","Low","Low-Low-Low"
"319",319,20302020602,"New York","NY","Mid-Atlantic","",0.3791153,19.7356968,29.5715714,7.6972303,0.123839286,0.777733727,28.90416346,-0.693137622,12.5,0.379239041,0.294251447,4.188343087,0.07003009,41800.1963,59292.78606,169159392.9,5,-9,1,-8,-2,5,-9,4,3,-5,-8,-8,2,-32,-19,-10,-2,1,-5,1,1,"Low","Low","Low","Low-Low-Low"
"320",320,20302020603,"New York","NY","Mid-Atlantic","",0.5441921,24.4019299,22.4164982,0.64724,0.105045872,0.882085709,35.90484823,-0.801070798,9.743589744,0.567387687,0.348661322,7.437355158,0.050765232,39746.71671,54990.45277,160849255.8,6,-10,1,-4,-2,6,-9,2,3,-7,-9,-9,2,-32,-16,-12,-4,1,-6,1,1,"Low","High","Low","Low-High-Low"
